SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
HR-EVC,ESTRADIOL Vag. Cream,Hormone Replacement Therapy,Vag. Cream,0.1mg/mL,30mL Tube,,,$41.50,Vaginal estradiol cream for urogenital atrophy and pelvic health.
HR-EVC-02,ESTRADIOL Vag. Cream,Hormone Replacement Therapy,Vag. Cream,0.5mg/mL,30mL Tube,,,$41.50,Vaginal estradiol cream for urogenital atrophy and pelvic health.
HR-EVC-03,ESTRADIOL Vag. Cream,Hormone Replacement Therapy,Vag. Cream,0.01%,30mL Tube,,,$41.50,Vaginal estradiol cream for urogenital atrophy and pelvic health.
HR-EVB,ESTRADIOL (VERSABASE),Hormone Replacement Therapy,Vag. Cream,0.15mg/mL,30mL Tube,,,$41.50,Estradiol in Versabase carrier for superior skin absorption.
HR-EVB-02,ESTRADIOL (VERSABASE),Hormone Replacement Therapy,Vag. Cream,0.2mg/mL,30mL Tube,,,$41.50,Estradiol in Versabase carrier for superior skin absorption.
HR-EVB-03,ESTRADIOL (VERSABASE),Hormone Replacement Therapy,Vag. Cream,1mg/mL,30mL Tube,,,$41.50,Estradiol in Versabase carrier for superior skin absorption.
HR-EVB-04,ESTRADIOL (VERSABASE),Hormone Replacement Therapy,Vag. Cream,2mg/mL,30mL Tube,,,$41.50,Estradiol in Versabase carrier for superior skin absorption.
