SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
SK-FMT,Finasteride/Minoxidil/Tretinoin,Skin & Hair Care,Foam,0.25mg/5.0mg/0.03%,30mL,,$60.00,$60.00,"Triple hair-loss foam combining DHT blocker, vasodilator, and retinoid."
SK-FM,Finasteride/Minoxidil,Skin & Hair Care,Foam,0.25mg/5mg,30mL,,$60.00,$60.00,DHT blocker + scalp vasodilator combination for synergistic hair retention.
SK-FM-02,Finasteride/Minoxidil,Skin & Hair Care,Foam,0.25/12%,30mL,,$60.00,$60.00,DHT blocker + scalp vasodilator combination for synergistic hair retention.
